Subject;Income;Tour;District;Population
Алтайский край;11029,30;25926,00;СФО;2365680
Амурская область;14323,40;97498,00;ДВФО;801752
Архангельская область;19608,80;31654,00;СЗФО;1121813
Астраханская область;14697,20;18151,00;ЮФО;1018866
Белгородская область;16992,80;13685,00;ЦФО;1552865
Брянская область;13358,40;10830,00;ЦФО;1220530
Владимирская область;12956,20;27217,00;ЦФО;1389599
Волгоградская область;13774,80;26417,00;ЮФО;2535202
Вологодская область;14115,10;33614,00;СЗФО;1183860
Воронежская область;13883,30;7040,00;ЦФО;2335408
Еврейская автономная область;15347,80;7725,00;ДВФО;164217
Забайкальский край;14204,50;215602,00;СФО;1078983
Ивановская область;11123,50;11816,00;ЦФО;1023170
Иркутская область;15109,70;44402,00;СФО;2408901
Кабардино-Балкарская Республика;11290,00;339,00;СКФО;864454
Калининградская область;16040,10;30931,00;СЗФО;986261
Калужская область;15477,40;12372,00;ЦФО;1014570
Камчатский край;27010,30;7868,00;ДВФО;314729
Карачаево-Черкесская Республика;10878,00;886,00;СКФО;466432
Кемеровская область;15341,20;34932,00;СФО;2708844
Кировская область;13330,90;11803,00;ПФО;1291684
Костромская область;13314,80;10457,00;ЦФО;648157
Краснодарский край;16892,10;107491,00;ЮФО;5570945
Красноярский край;18261,60;71321,00;СФО;2875301
Курганская область;13498,90;7932,00;УФО;854109
Курская область;14685,10;13494,00;ЦФО;1122893
Ленинградская область;14798,50;11403,00;СЗФО;1791916
Липецкая область;15935,80;10209,00;ЦФО;1156221
Магаданская область;27800,70;2258,00;ДВФО;145570
Московская область;22641,00;78761,00;ЦФО;7423470
Мурманская область;24046,50;15320,00;СЗФО;757621
Ненецкий автономный округ;52270,10;734,00;СЗФО;43937
Нижегородская область;16477,30;76192,00;ПФО;3247713
Новгородская область;15598,90;9946,00;СЗФО;612522
Новосибирская область;16276,00;140765,00;СФО;2779555
Омская область;15199,00;43610,00;СФО;1972682
Оренбургская область;13557,10;16345,00;ПФО;1989589
Орловская область;13114,60;9479,00;ЦФО;754816
Пензенская область;12920,40;12753,00;ПФО;1341526
Пермский край;19834,30;42824,00;ПФО;2632097
Приморский край;17297,90;275413,00;ДВФО;1923116
Псковская область;12797,60;10419,00;СЗФО;642164
Республика Адыгея;12278,70;2323,00;ЮФО;453366
Республика Алтай;13535,70;7184,00;СФО;217007
Республика Башкортостан;17498,90;47360,00;ПФО;4066972
Республика Бурятия;14270,70;26697,00;СФО;984134
Республика Дагестан;15678,30;941,00;СКФО;3041900
Республика Калмыкия;7774,00;3898,00;ЮФО;277803
Республика Карелия;16045,70;13649,00;СЗФО;627083
Республика Коми;22260,30;24915,00;СЗФО;850554
Республика Марий Эл;10335,70;6953,00;ПФО;684684
Республика Мордовия;11294,20;10294,00;ПФО;808541
Республика Саха (Якутия);23088,10;20249,00;ДВФО;962835
Республика Северная Осетия - Алания;13192,90;1652,00;СКФО;703262
Республика Татарстан;18424,00;126456,00;ПФО;3885253
Республика Тыва;10159,60;428,00;СФО;318550
Республика Хакасия;12806,40;4432,00;СФО;537668
Ростовская область;14647,10;86115,00;ЮФО;4231355
Рязанская область;13886,30;11415,00;ЦФО;1126739
Самарская область;20223,10;62328,00;ПФО;3203679
Саратовская область;12146,60;29153,00;ПФО;2479260
Сахалинская область;30727,00;9413,00;ДВФО;487344
Свердловская область;22193,80;138856,00;УФО;4329341
Смоленская область;14546,00;10874,00;ЦФО;953201
Ставропольский край;13016,10;23707,00;СКФО;2804383
Тамбовская область;13630,80;5762,00;ЦФО;1040327
Тверская область;13872,60;35890,00;ЦФО;1296799
Томская область;15070,50;23345,00;СФО;1078891
Тульская область;15349,50;11362,00;ЦФО;1499417
Тюменская область;28756,70;52415,00;УФО;1477903
Удмуртская Республика;12983,60;12998,00;ПФО;1516826
Ульяновская область;13132,40;12036,00;ПФО;1252887
Хабаровский край;22478,90;106710,00;ДВФО;1333294
Ханты-Мансийский автономный округ;32385,00;20519,00;УФО;1646078
Челябинская область;16821,10;56687,00;УФО;3502323
Чеченская Республика;11982,40;41,00;СКФО;1414865
Чувашская Республика;11065,80;31213,00;ПФО;1235863
Ямало-Ненецкий автономный округ;43367,10;1237,00;УФО;536049
Ярославская область;14490,60;22749,00;ЦФО;1270736
